date,duration,bvid,url,title,subtitle_status,subtitle_count,subtitle_lans,view_code,cid
2022-09-20,16:29,BV1YT411T7MD,https://www.bilibili.com/video/BV1YT411T7MD/,学术妲己拯救你做一个优秀的学术裁缝，没有继承且无法复现论文模型怎么办？,no_subtitle,0,,0,838705035
2022-09-22,22:24,BV11g41127Zn,https://www.bilibili.com/video/BV11g41127Zn/,教你做称职的学术裁缝(纯干货)，明白顶刊和水刊的意义~,no_subtitle,0,,0,840379666
2022-10-10,15:09,BV1ne41157Gn,https://www.bilibili.com/video/BV1ne41157Gn/,水论文如何吹一个好故事，伟大者剽窃，核心思想是复刻,no_subtitle,0,,0,858010139
2023-01-15,11:30,BV1mK411C7WH,https://www.bilibili.com/video/BV1mK411C7WH/,缝(水)完论文模型一眼被拒，怎么去写水文真的很重要,no_subtitle,0,,0,967376817
2023-04-08,34:56,BV1qv4y1n7dx,https://www.bilibili.com/video/BV1qv4y1n7dx/,35分钟教你从0到1，水出SCI（精品），学术裁缝必修课,no_subtitle,0,,0,1087463975
2023-05-25,04:04,BV1fV4y1B72F,https://www.bilibili.com/video/BV1fV4y1B72F/,学术裁缝调参术，轻松解决消融难题,no_subtitle,0,,0,1141667251
2023-08-05,09:47,BV1xz4y1p7Fj,https://www.bilibili.com/video/BV1xz4y1p7Fj/,学术裁缝，水论文保毕业的，可行性分析，首次解读,no_subtitle,0,,0,1223519394
2023-08-07,11:46,BV1yk4y1g7KS,https://www.bilibili.com/video/BV1yk4y1g7KS/,新老粉丝专享，学术裁缝中的基准模型，手把手教你找,no_subtitle,0,,0,1225655502
2023-08-08,09:23,BV1b14y1q7ju,https://www.bilibili.com/video/BV1b14y1q7ju/,手把手带你找，学术裁缝中的模块，Sci真不难系列,no_subtitle,0,,0,1227427085
2023-11-01,08:40,BV1a94y1G7Xp,https://www.bilibili.com/video/BV1a94y1G7Xp/,学术裁缝是学术不端？我的视频误人子弟？,no_subtitle,0,,0,1318532999
2024-05-10,09:54,BV17s421N7am,https://www.bilibili.com/video/BV17s421N7am/,学术裁缝(财富)让你保底毕业，学会编故事让你的论文更上一个级别，CVPR带读,no_subtitle,0,,0,1539989709
2024-07-31,09:59,BV1ir421K7kC,https://www.bilibili.com/video/BV1ir421K7kC/,生动形象的说清楚，学术论文如何编一个好故事,no_subtitle,0,,0,1635813274
2024-10-21,43:54,BV1tUy5YkEXe,https://www.bilibili.com/video/BV1tUy5YkEXe/,论文A+B的组合能发新论文吗？顶刊更看重什么？没有导师带怎么发顶刊？,no_subtitle,0,,0,26399146623
2024-11-05,04:25,BV1jQD8Y7Exh,https://www.bilibili.com/video/BV1jQD8Y7Exh/,如何高效学习，高效阅读论文，实现科研上的自由,no_subtitle,0,,0,26626884464
2025-02-06,49:00,BV1dzNWewExA,https://www.bilibili.com/video/BV1dzNWewExA/,学术裁缝的核心，不是缝模块，而是编故事，20250126(2),no_subtitle,0,,0,28247655626
2025-02-21,43:32,BV12xPceUEDn,https://www.bilibili.com/video/BV12xPceUEDn/,研究生们，学术裁缝绝不是学术不端，除非你想学术不端，20250216(2)，,no_subtitle,0,,0,28508621885
2025-04-03,11:25,BV1UZZUY6E6X,https://www.bilibili.com/video/BV1UZZUY6E6X/,你看的论文我看的论文不一样，学术裁缝要看哪类论文，001,no_subtitle,0,,0,29219098186
2025-05-03,22:54,BV1rPGdz3E2V,https://www.bilibili.com/video/BV1rPGdz3E2V/,看论文咬文嚼字？谁爱搞科研谁搞去，我就搞学术裁缝！！！005，相关工作,no_subtitle,0,,0,29773006798
2025-05-04,06:57,BV1B1VAzxELR,https://www.bilibili.com/video/BV1B1VAzxELR/,学术裁缝虽好用，但不兴搬到台面上来讲呀！小不忍则乱大谋,no_subtitle,0,,0,29790702913
2025-05-05,27:10,BV16KVzzfEPh,https://www.bilibili.com/video/BV16KVzzfEPh/,学术裁缝不仅可以缝模块，还有一种新颖的水论文工作量的方法，006，,no_subtitle,0,,0,29806954283
2025-05-12,43:29,BV1inEJzLEcG,https://www.bilibili.com/video/BV1inEJzLEcG/,不做实验的学术裁缝是不端，做实验的学术裁缝是基操，20250507，,no_subtitle,0,,0,29923019527
2025-05-13,19:52,BV1W5EAzLErh,https://www.bilibili.com/video/BV1W5EAzLErh/,学术裁缝新人看完这期，至此已成艺术，论文方法章节怎么阅读，007,no_subtitle,0,,0,29943140197
2025-05-21,17:46,BV12WJ6zoEa6,https://www.bilibili.com/video/BV12WJ6zoEa6/,如何读论文进而水论文，成为优秀的学术裁缝，完结撒花，009,no_subtitle,0,,0,30077420601
2025-06-04,47:54,BV13RTjzKEPZ,https://www.bilibili.com/video/BV13RTjzKEPZ/,看完视频只有一个感想：读论文从未如此简单过，010,no_subtitle,0,,0,30317807268
2025-06-11,34:06,BV1rDMHzTEEd,https://www.bilibili.com/video/BV1rDMHzTEEd/,清华联合腾讯的一篇顶会，标准的学术裁缝，做的实验也不过如此，011,no_subtitle,0,,0,30441865845
2025-06-21,32:20,BV1U9N1zrEQW,https://www.bilibili.com/video/BV1U9N1zrEQW/,学术裁缝搜哪些论文，又该如何一篇篇下载并整理,no_subtitle,0,,0,30620650658
2025-06-26,54:49,BV1npKfzPEuC,https://www.bilibili.com/video/BV1npKfzPEuC/,当你开始仅论文论，缝论文从未如此简单过，学术裁缝速成入门，012,no_subtitle,0,,0,30712596782
2025-07-02,28:52,BV1ut34zuEfS,https://www.bilibili.com/video/BV1ut34zuEfS/,学术裁缝的话，论文方法部分如何写作，013,no_subtitle,0,,0,30813978924
2025-08-13,17:50,BV1mxbezeEhV,https://www.bilibili.com/video/BV1mxbezeEhV/,论文不就是，模仿、抄和降重吗，真不知道有啥难度，相关工作，015,no_subtitle,0,,0,31671583237
2025-10-16,04:53,BV1evWizBEvd,https://www.bilibili.com/video/BV1evWizBEvd/,水论文保毕业不是学术裁缝上限，顶刊顶会包也适用的,no_subtitle,0,,0,33128908209
2025-12-26,06:57,BV1FKBXBCE84,https://www.bilibili.com/video/BV1FKBXBCE84/,仅想快速毕业，如何高效阅读论文,no_subtitle,0,,0,34973352103
2026-01-29,14:42,BV1Ht6wBVES1,https://www.bilibili.com/video/BV1Ht6wBVES1/,当你开始仅论文论，一年百篇不是梦！,no_subtitle,0,,0,35689335003
2026-02-08,49:38,BV1nhFZz7E8D,https://www.bilibili.com/video/BV1nhFZz7E8D/,二探川大83页举报信，给研究生们的启发！当你仅论文论，论文发表好像很简单！严厉抵制学术不端！,no_subtitle,0,,0,35906717161
